name,link,score,location,date,state,city,address,map links,views,likes,cLink,cust_Score,num_Revs
Angelo Bellini,https://onebite.app/restaurant/angelo-bellini-new-york-ny-850a61d9/review/6f748777-3d5c-42d6-9323-4353d7d27385,5.7,"New York, NY",2017-06-28 18:00:00.000000,NY,New York,"224 E 53rd St, New York, NY",https://google.com/maps/dir/?api=1&destination=Angelo%2BBellini%2C%2B224%2BE%2B53rd%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10022,695,67,https://onebite.app/restaurant/angelo-bellini-new-york-ny-850a61d9,6.8,5.0
Merilu Pizza Al Metro,https://onebite.app/restaurant/merilu-pizza-al-metro-new-york-ny-e32566db/review/607c3c44-61b2-4af8-ac74-e99276839b8d,8.2,"New York, NY",2017-06-27 18:00:00.000000,NY,New York,"791 9th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Merilu%2BPizza%2BAl%2BMetro%2C%2B791%2B9th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10019,2580,71,https://onebite.app/restaurant/merilu-pizza-al-metro-new-york-ny-e32566db,7.4,17.0
Black Sheep Pizza - Minneapo...,https://onebite.app/restaurant/black-sheep-pizza-minneapolis-minneapolis-mn-7bb05441/review/872b51f9-5cef-45b9-980d-23837e151ac8,8.3,"Minneapolis, MN",2017-06-26 18:00:00.000000,MN,Minneapolis,"2550 Nicollet Ave S, Minneapolis, MN",https://google.com/maps/dir/?api=1&destination=Black%2BSheep%2BPizza%2B-%2BMinneapolis%2C%2B2550%2BNicollet%2BAve%2BS%2C%2BMinneapolis%2C%2BMN%2C%2B55404,12126,78,https://onebite.app/restaurant/black-sheep-pizza-minneapolis-minneapolis-mn-7bb05441,8.1,103.0
F & M Slice Pizza,https://onebite.app/restaurant/f-and-m-slice-pizza-new-york-ny-a9da497a/review/b6c5222d-f552-4f5d-8c60-50872cacae49,0.2,"New York, NY",2017-06-23 18:00:00.000000,NY,New York,"153 Ave C, New York, NY",https://google.com/maps/dir/?api=1&destination=F%2B%26%2BM%2BSlice%2BPizza%2C%2B153%2BAve%2BC%2C%2BNew%2BYork%2C%2BNY%2C%2B10009,5988,70,https://onebite.app/restaurant/f-and-m-slice-pizza-new-york-ny-a9da497a,5.1,2.0
Yankee Pizza,https://onebite.app/restaurant/yankee-pizza-new-york-city-ny-65312d77/review/037bc0b3-b5f0-4d5e-8ebe-a19f281edc3e,4.8,"New York City, NY",2017-06-22 18:00:00.000000,NY,New York City,"181 Ave C, New York City, NY",https://google.com/maps/dir/?api=1&destination=Yankee%2BPizza%2C%2B181%2BAve%2BC%2C%2BNew%2BYork%2BCity%2C%2BNY%2C%2B10009,779,48,https://onebite.app/restaurant/yankee-pizza-new-york-city-ny-65312d77,4.4,3.0
Farinella Bakery Pizza,https://onebite.app/restaurant/farinella-bakery-pizza-new-york-ny-ce1e774b/review/250eda0e-0eec-44c7-9e16-4855f591e3c5,6.2,"New York, NY",2017-06-21 18:00:00.000000,NY,New York,"788 Lexington Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Farinella%2BBakery%2BPizza%2C%2B788%2BLexington%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10065,843,60,https://onebite.app/restaurant/farinella-bakery-pizza-new-york-ny-ce1e774b,6.1,11.0
Capizzi,https://onebite.app/restaurant/capizzi-new-york-ny-c7e3c36c/review/abb2165b-17c0-4082-a8eb-0949200e8d42,7.1,"New York, NY",2017-06-20 18:00:00.000000,NY,New York,"547 9th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Capizzi%2C%2B547%2B9th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10018,1710,54,https://onebite.app/restaurant/capizzi-new-york-ny-c7e3c36c,7.7,23.0
Patsy's Pizzeria,https://onebite.app/restaurant/patsys-pizzeria-new-york-ny-8dd10522/review/4d5f2cf1-20ce-4c9a-af46-bff298e14561,8.6,"New York, NY",2017-06-19 18:00:00.000000,NY,New York,"801 2nd Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Patsy's%2BPizzeria%2C%2B801%2B2nd%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10017,12822,67,https://onebite.app/restaurant/patsys-pizzeria-new-york-ny-8dd10522,8.4,133.0
Pasta Lovers,https://onebite.app/restaurant/pasta-lovers-new-york-ny-2c028cd0/review/27248eef-50e0-4f61-bd40-6878ba8a5078,4.8,"New York, NY",2017-06-16 18:00:00.000000,NY,New York,"142 W 49th St, New York, NY",https://google.com/maps/dir/?api=1&destination=Pasta%2BLovers%2C%2B142%2BW%2B49th%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10019,707,45,https://onebite.app/restaurant/pasta-lovers-new-york-ny-2c028cd0,6.5,3.0
Radio City Pizza,https://onebite.app/restaurant/radio-city-pizza-new-york-ny-947af1b7/review/dc670630-3f93-4bdc-96c1-c1bcf0b0760e,6.1,"New York, NY",2017-06-15 18:00:00.000000,NY,New York,"142 West 49th St, New York, NY",https://google.com/maps/dir/?api=1&destination=Radio%2BCity%2BPizza%2C%2B142%2BWest%2B49th%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10019,833,55,https://onebite.app/restaurant/radio-city-pizza-new-york-ny-947af1b7,6.2,28.0
Saluggi's,https://onebite.app/restaurant/saluggis-new-york-ny-d1411a03/review/e7f600e0-e68c-4f39-b93f-ae9b4b056aec,8.2,"New York, NY",2017-06-14 18:00:00.000000,NY,New York,"325 Church St, New York, NY",https://google.com/maps/dir/?api=1&destination=Saluggi's%2C%2B325%2BChurch%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10013,3845,73,https://onebite.app/restaurant/saluggis-new-york-ny-d1411a03,8.1,72.0
Picciotto NYC,https://onebite.app/restaurant/picciotto-nyc-new-york-ny-804563a7/review/049b2c79-61e4-447f-9afc-3b8c74437c61,8.4,"New York, NY",2017-06-13 18:00:00.000000,NY,New York,"300 Park Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Picciotto%2BNYC%2C%2B300%2BPark%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10022,2383,74,https://onebite.app/restaurant/picciotto-nyc-new-york-ny-804563a7,7.1,3.0
Borrelli's,https://onebite.app/restaurant/borrellis-east-meadow-ny-725747ea/review/770fe193-4645-418a-be52-1e1cffe1ac75,7.9,"East Meadow, NY",2017-06-12 18:00:00.000000,NY,East Meadow,"1580 Hempstead Tpke, East Meadow, NY",https://google.com/maps/dir/?api=1&destination=Borrelli's%2C%2B1580%2BHempstead%2BTpke%2C%2BEast%2BMeadow%2C%2BNY%2C%2B11554,12227,77,https://onebite.app/restaurant/borrellis-east-meadow-ny-725747ea,7.8,100.0
Saba's Pizza Upper East,https://onebite.app/restaurant/sabas-pizza-upper-east-new-york-ny-59c06abf/review/42d7ebcf-a90e-4f5b-8afa-6a2c4f9c1082,8.4,"New York, NY",2020-11-22 20:45:16.827840,NY,New York,"1217 Lexington Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Saba's%2BPizza%2BUpper%2BEast%2C%2B1217%2BLexington%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10028,6401,63,https://onebite.app/restaurant/sabas-pizza-upper-east-new-york-ny-59c06abf,7.6,73.0
Carve,https://onebite.app/restaurant/carve-new-york-ny-53ea1f17/review/f2198243-92b7-47a7-9ba5-3f843e697dc8,4.1,"New York, NY",2020-11-22 20:45:16.827840,NY,New York,"760 8th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Carve%2C%2B760%2B8th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10036,980,52,https://onebite.app/restaurant/carve-new-york-ny-53ea1f17,5.3,18.0
Kesté Pizza & Vino,https://onebite.app/restaurant/keste-pizza-and-vino-new-york-ny-3587611f/review/652d7fbf-fdd3-4825-9f49-72d95e9f0c03,6.4,"New York, NY",2020-11-22 20:45:16.827840,NY,New York,"66 Gold S, New York, NY",https://google.com/maps/dir/?api=1&destination=Kest%C3%A9%2BPizza%2B%26%2BVino%2C%2B66%2BGold%2BS%2C%2BNew%2BYork%2C%2BNY%2C%2B10038,1497,56,https://onebite.app/restaurant/keste-pizza-and-vino-new-york-ny-3587611f,7.6,17.0
Claudio Pizzeria,https://onebite.app/restaurant/claudio-pizzeria-new-york-ny-44fe84fc/review/5579edea-7cbb-4ca9-b60b-6f6a42fbfec6,6.4,"New York, NY",2020-11-22 20:45:16.827840,NY,New York,"598 10th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Claudio%2BPizzeria%2C%2B598%2B10th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10036,797,52,https://onebite.app/restaurant/claudio-pizzeria-new-york-ny-44fe84fc,6.5,14.0
Nizza,https://onebite.app/restaurant/nizza-new-york-ny-97de8454/review/32c58e9e-ae2c-4443-a57b-3ac1aebda78a,6.8,"New York, NY",2020-11-22 20:45:16.827840,NY,New York,"630 9th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Nizza%2C%2B630%2B9th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10036,496,56,https://onebite.app/restaurant/nizza-new-york-ny-97de8454,6.8,2.0
Olio e Piú,https://onebite.app/restaurant/olio-e-piu-new-york-ny-6b91ee65/review/8f325370-263f-4691-bcc4-ab90992ac578,5.2,"New York, NY",2020-11-22 20:45:16.827840,NY,New York,"3 Greenwich Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Olio%2Be%2BPi%C3%BA%2C%2B3%2BGreenwich%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10014,625,49,https://onebite.app/restaurant/olio-e-piu-new-york-ny-6b91ee65,5.8,2.0
Regina Pizzeria,https://onebite.app/restaurant/regina-pizzeria-mashantucket-ct-8f0f0c68/review/093054a7-fef0-467e-81a0-7153bcad14a3,6.4,"Mashantucket, CT",2020-11-22 20:45:16.827840,CT,Mashantucket,"350 Trolley Line Blvd, Mashantucket, CT",https://google.com/maps/dir/?api=1&destination=Regina%2BPizzeria%2C%2B350%2BTrolley%2BLine%2BBlvd%2C%2BMashantucket%2C%2BCT%2C%2B06338,3142,76,https://onebite.app/restaurant/regina-pizzeria-mashantucket-ct-8f0f0c68,6.0,26.0
Pecorino,https://onebite.app/restaurant/pecorino-new-york-ny-82b96dc4/review/28b6f0a4-cb29-4a3e-b316-08f9349e6577,7.4,"New York, NY",2017-05-31 18:00:00.000000,NY,New York,"197 7th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Pecorino%2C%2B197%2B7th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10012,545,55,https://onebite.app/restaurant/pecorino-new-york-ny-82b96dc4,7.3,2.0
Fiore's Pizza,https://onebite.app/restaurant/fiores-pizza-new-york-ny-41e4d4c2/review/a8ebcaa2-a915-46a8-8a29-52ed20021da7,7.0,"New York, NY",2017-05-30 18:00:00.000000,NY,New York,"165 Bleecker St, New York, NY",https://google.com/maps/dir/?api=1&destination=Fiore's%2BPizza%2C%2B165%2BBleecker%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10012,981,56,https://onebite.app/restaurant/fiores-pizza-new-york-ny-41e4d4c2,7.0,26.0
