name,link,score,location,date,state,city,address,map links,views,likes,cLink,cust_Score,num_Revs
Trattoria La Sorrentina,https://onebite.app/restaurant/trattoria-la-sorrentina-north-bergen-nj-36b653fa/review/b02d6778-c0c9-4e1b-acc9-73f28a28ab06,7.5,"North Bergen, NJ",2020-11-27 20:45:16.827840,NJ,North Bergen,"7831 Bergenline Ave, North Bergen, NJ",https://google.com/maps/dir/?api=1&destination=Trattoria%2BLa%2BSorrentina%2C%2B7831%2BBergenline%2BAve%2C%2BNorth%2BBergen%2C%2BNJ%2C%2B07047,3216,217,https://onebite.app/restaurant/trattoria-la-sorrentina-north-bergen-nj-36b653fa,8.1,15.0
Cesare's Ristorante,https://onebite.app/restaurant/cesares-ristorante-bristol-pa-6078fd0d/review/a7bf5138-6274-4c64-8463-c922157abddc,8.1,"Bristol, PA",2020-11-25 20:45:16.827840,PA,Bristol,"1407 Radcliffe St, Bristol, PA",https://google.com/maps/dir/?api=1&destination=Cesare's%2BRistorante%2C%2B1407%2BRadcliffe%2BSt%2C%2BBristol%2C%2BPA%2C%2B19007,3743,191,https://onebite.app/restaurant/cesares-ristorante-bristol-pa-6078fd0d,8.2,35.0
Tony & Joe's Pizzeria,https://onebite.app/restaurant/tony-and-joes-pizzeria-conshohocken-pa-483dd65d/review/5e2ab654-eb1f-4de5-82e1-783f7010be00,7.3,"Conshohocken, PA",2020-11-24 20:45:16.827840,PA,Conshohocken,"201 Fayette St, Conshohocken, PA",https://google.com/maps/dir/?api=1&destination=Tony%2B%26%2BJoe's%2BPizzeria%2C%2B201%2BFayette%2BSt%2C%2BConshohocken%2C%2BPA%2C%2B19428,5142,254,https://onebite.app/restaurant/tony-and-joes-pizzeria-conshohocken-pa-483dd65d,7.5,27.0
Campus Corner Pizza,https://onebite.app/restaurant/campus-corner-pizza-villanova-pa-d78abed4/review/3923849b-4726-4d3f-b7c6-8b2c369ebb0b,6.9,"Villanova, PA",2020-11-23 20:45:16.827840,PA,Villanova,"829 E Lancaster Ave, Villanova, PA",https://google.com/maps/dir/?api=1&destination=Campus%2BCorner%2BPizza%2C%2B829%2BE%2BLancaster%2BAve%2C%2BVillanova%2C%2BPA%2C%2B19085,3829,191,https://onebite.app/restaurant/campus-corner-pizza-villanova-pa-d78abed4,6.9,21.0
Randazzo's Pizzeria,https://onebite.app/restaurant/randazzos-pizzeria-philadelphia-pa-fd0b7b42/review/27a41e3d-acdd-4231-8b05-20cb5667ab2a,7.4,"Philadelphia, PA",2020-11-19 23:00:00.000000,PA,Philadelphia,"1826 S St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Randazzo's%2BPizzeria%2C%2B1826%2BS%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19146,5709,278,https://onebite.app/restaurant/randazzos-pizzeria-philadelphia-pa-fd0b7b42,7.0,8.0
Philly Style Pizza and Grill...,https://onebite.app/restaurant/philly-style-pizza-and-grille-philadelphia-pa-adec96cf/review/5611e22c-df80-467a-a818-d3c4e7091df5,6.8,"Philadelphia, PA",2020-11-18 23:00:00.000000,PA,Philadelphia,"2010 N Broad St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Philly%2BStyle%2BPizza%2Band%2BGrille%2C%2B2010%2BN%2BBroad%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19121,5245,307,https://onebite.app/restaurant/philly-style-pizza-and-grille-philadelphia-pa-adec96cf,6.7,15.0
Tonelli's Takeout,https://onebite.app/restaurant/tonellis-takeout-lafayette-hill-pa-5dc0431d/review/d425f40c-a686-4904-8eb6-736f186586fe,6.6,"Lafayette Hill, PA",2020-11-17 23:00:00.000000,PA,Lafayette Hill,"435 Germantown Pike, Lafayette Hill, PA",https://google.com/maps/dir/?api=1&destination=Tonelli's%2BTakeout%2C%2B435%2BGermantown%2BPike%2C%2BLafayette%2BHill%2C%2BPA%2C%2B19444,4926,480,https://onebite.app/restaurant/tonellis-takeout-lafayette-hill-pa-5dc0431d,7.1,8.0
Café Carmela,https://onebite.app/restaurant/cafe-carmela-philadelphia-pa-858aa80f/review/4668bb73-c1c5-4d4e-ae8f-406c5834252e,7.3,"Philadelphia, PA",2020-11-16 23:00:00.000000,PA,Philadelphia,"2859 Holme Ave, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Caf%C3%A9%2BCarmela%2C%2B2859%2BHolme%2BAve%2C%2BPhiladelphia%2C%2BPA%2C%2B19152,4718,334,https://onebite.app/restaurant/cafe-carmela-philadelphia-pa-858aa80f,8.4,23.0
Charlie's Pizzeria,https://onebite.app/restaurant/charlies-pizzeria-philadelphia-pa-2fe98eba/review/84bfe670-9c2e-4694-b763-878abd8bff7a,7.6,"Philadelphia, PA",2020-11-12 23:00:00.000000,PA,Philadelphia,"4300 Roosevelt Blvd, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Charlie's%2BPizzeria%2C%2B4300%2BRoosevelt%2BBlvd%2C%2BPhiladelphia%2C%2BPA%2C%2B19124,5101,398,https://onebite.app/restaurant/charlies-pizzeria-philadelphia-pa-2fe98eba,8.7,31.0
Franzone's Pizzeria & Restau...,https://onebite.app/restaurant/franzones-pizzeria-and-restaurant-philadelphia-pa-16297485/review/ec44d819-a0d8-4a87-8305-cb5c5a7db752,7.4,"Philadelphia, PA",2020-11-11 23:00:00.000000,PA,Philadelphia,"114 Levering St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Franzone's%2BPizzeria%2B%26%2BRestaurant%2C%2B114%2BLevering%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19127,5277,317,https://onebite.app/restaurant/franzones-pizzeria-and-restaurant-philadelphia-pa-16297485,6.7,27.0
"Maxi's Pizza, Subs and Bar",https://onebite.app/restaurant/maxis-pizza-subs-and-bar-philadelphia-pa-fc2f5b00/review/e889c17c-552e-4cc8-8718-9dc4189285fd,7.1,"Philadelphia, PA",2020-11-10 23:00:00.000000,PA,Philadelphia,"1926 Liacouras Walk, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Maxi's%2BPizza%2C%2BSubs%2Band%2BBar%2C%2B1926%2BLiacouras%2BWalk%2C%2BPhiladelphia%2C%2BPA%2C%2B19122,5880,346,https://onebite.app/restaurant/maxis-pizza-subs-and-bar-philadelphia-pa-fc2f5b00,7.3,21.0
Pizzata Pizzeria,https://onebite.app/restaurant/pizzata-pizzeria-philadelphia-pa-1f047fbd/review/ec8d82eb-8bca-4125-920b-d9fa4cad7072,8.1,"Philadelphia, PA",2020-11-09 23:00:00.000000,PA,Philadelphia,"240 S 22nd St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Pizzata%2BPizzeria%2C%2B240%2BS%2B22nd%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19103,6344,394,https://onebite.app/restaurant/pizzata-pizzeria-philadelphia-pa-1f047fbd,8.7,7.0
Goodfellas Pizzeria,https://onebite.app/restaurant/goodfellas-pizzeria-lexington-ky-aeeed2d7/review/e60afb77-090a-4a56-b11f-d953ac29f8c6,7.7,"Lexington, KY",2020-11-06 23:00:00.000000,KY,Lexington,"1228 Manchester St, Lexington, KY",https://google.com/maps/dir/?api=1&destination=Goodfellas%2BPizzeria%2C%2B1228%2BManchester%2BSt%2C%2BLexington%2C%2BKY%2C%2B40504,51147,4500,https://onebite.app/restaurant/goodfellas-pizzeria-lexington-ky-aeeed2d7,2.9,115.0
Tony's Famous Tomato Pie,https://onebite.app/restaurant/tonys-famous-tomato-pie-philadelphia-pa-d1149718/review/e2f8595d-5a38-4aa7-ba86-f37d17362df3,7.3,"Philadelphia, PA",2020-11-04 23:00:00.000000,PA,Philadelphia,"6300 Frankford Ave, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Tony's%2BFamous%2BTomato%2BPie%2C%2B6300%2BFrankford%2BAve%2C%2BPhiladelphia%2C%2BPA%2C%2B19135,6756,357,https://onebite.app/restaurant/tonys-famous-tomato-pie-philadelphia-pa-d1149718,7.6,22.0
Montesini Pizza,https://onebite.app/restaurant/montesini-pizza-philadelphia-pa-d23e4292/review/373a0f9c-4619-4ce5-813b-1cea7c291700,7.4,"Philadelphia, PA",2020-11-03 23:00:00.000000,PA,Philadelphia,"6420 Frankford Ave, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Montesini%2BPizza%2C%2B6420%2BFrankford%2BAve%2C%2BPhiladelphia%2C%2BPA%2C%2B19149,5978,436,https://onebite.app/restaurant/montesini-pizza-philadelphia-pa-d23e4292,7.7,36.0
Gaetano's Pizzeria,https://onebite.app/restaurant/gaetanos-pizzeria-clifton-heights-pa-4bca5a2a/review/0da4d88c-26ef-4787-89e0-c18df66ade12,7.8,"Clifton Heights, PA",2020-10-30 22:00:00.000000,PA,Clifton Heights,"210 S Springfield Rd, Clifton Heights, PA",https://google.com/maps/dir/?api=1&destination=Gaetano's%2BPizzeria%2C%2B210%2BS%2BSpringfield%2BRd%2C%2BClifton%2BHeights%2C%2BPA%2C%2B19018,7062,589,https://onebite.app/restaurant/gaetanos-pizzeria-clifton-heights-pa-4bca5a2a,8.0,32.0
Imperial Pizza,https://onebite.app/restaurant/imperial-pizza-secane-pa-bae6246b/review/0ebf2bcb-93e8-4618-a590-0b40ce488c41,6.9,"Secane, PA",2020-10-28 22:00:00.000000,PA,Secane,"615 South Ave, Secane, PA",https://google.com/maps/dir/?api=1&destination=Imperial%2BPizza%2C%2B615%2BSouth%2BAve%2C%2BSecane%2C%2BPA%2C%2B19018,6423,407,https://onebite.app/restaurant/imperial-pizza-secane-pa-bae6246b,7.2,25.0
Sam’s Boardwalk Style Pizza ...,https://onebite.app/restaurant/sams-boardwalk-style-pizza-and-bottle-shop-havertown-pa-2449be05/review/bf3622d8-1518-4d0b-9961-ea6d068a39e7,7.3,"Havertown, PA",2020-10-27 22:00:00.000000,PA,Havertown,"31 Brookline Blvd, Havertown, PA",https://google.com/maps/dir/?api=1&destination=Sam%E2%80%99s%2BBoardwalk%2BStyle%2BPizza%2B%26%2BBottle%2BShop%2C%2B31%2BBrookline%2BBlvd%2C%2BHavertown%2C%2BPA%2C%2B19083,6305,335,https://onebite.app/restaurant/sams-boardwalk-style-pizza-and-bottle-shop-havertown-pa-2449be05,7.1,13.0
Pica's Restaurant of Upper D...,https://onebite.app/restaurant/picas-restaurant-of-upper-darby-upper-darby-pa-862b0f24/review/a635f3e7-3457-414d-91dd-ef2b5da69926,7.8,"Upper Darby, PA",2020-10-26 22:00:00.000000,PA,Upper Darby,"7803 West Chester Pike, Upper Darby, PA",https://google.com/maps/dir/?api=1&destination=Pica's%2BRestaurant%2Bof%2BUpper%2BDarby%2C%2B7803%2BWest%2BChester%2BPike%2C%2BUpper%2BDarby%2C%2BPA%2C%2B19082,6985,402,https://onebite.app/restaurant/picas-restaurant-of-upper-darby-upper-darby-pa-862b0f24,8.0,5.0
Anthony's Pizza VI,https://onebite.app/restaurant/anthonys-pizza-vi-charles-town-wv-82fcf480/review/d4692ad1-15ba-45b3-985f-0027ce4f8741,4.2,"Charles Town, WV",2020-10-23 23:00:00.000000,WV,Charles Town,"72 Somerset Village Ctr, Charles Town, WV",https://google.com/maps/dir/?api=1&destination=Anthony's%2BPizza%2BVI%2C%2B72%2BSomerset%2BVillage%2BCtr%2C%2BCharles%2BTown%2C%2BWV%2C%2B25414,5982,360,https://onebite.app/restaurant/anthonys-pizza-vi-charles-town-wv-82fcf480,6.7,3.0
Brothers Pizzeria And Italia...,https://onebite.app/restaurant/brothers-pizzeria-and-italian-restaurant-charles-town-wv-a8bc3d26/review/5151bd13-8827-4289-8a99-12e951f5e859,5.8,"Charles Town, WV",2020-10-23 20:35:00.000000,WV,Charles Town,"114 Patrick Henry Way, Charles Town, WV",https://google.com/maps/dir/?api=1&destination=Brothers%2BPizzeria%2BAnd%2BItalian%2BRestaurant%2C%2B114%2BPatrick%2BHenry%2BWay%2C%2BCharles%2BTown%2C%2BWV%2C%2B25414,5042,331,https://onebite.app/restaurant/brothers-pizzeria-and-italian-restaurant-charles-town-wv-a8bc3d26,6.9,6.0
Circles + Squares,https://onebite.app/restaurant/circles-squares-philadelphia-pa-9d4aa952/review/f155fd4b-4e88-43b7-9415-adbd6e4efe01,8.2,"Philadelphia, PA",2020-10-22 22:00:00.000000,PA,Philadelphia,"2513 Tulip St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Circles%2B%2B%2BSquares%2C%2B2513%2BTulip%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19125,6079,339,https://onebite.app/restaurant/circles-squares-philadelphia-pa-9d4aa952,8.7,55.0
In Riva,https://onebite.app/restaurant/in-riva-philadelphia-pa-978020b1/review/29731e9e-f756-4c35-b1a8-a5550c4c8235,6.7,"Philadelphia, PA",2020-10-19 22:00:00.000000,PA,Philadelphia,"4116 Ridge Ave, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=In%2BRiva%2C%2B4116%2BRidge%2BAve%2C%2BPhiladelphia%2C%2BPA%2C%2B19129,6332,371,https://onebite.app/restaurant/in-riva-philadelphia-pa-978020b1,7.7,15.0
Allegro Pizza,https://onebite.app/restaurant/allegro-pizza-philadelphia-pa-fa454928/review/6f18d571-785d-4d64-bf80-b450d6d1f604,6.6,"Philadelphia, PA",2020-10-15 22:00:00.000000,PA,Philadelphia,"3942 Spruce St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Allegro%2BPizza%2C%2B3942%2BSpruce%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19104,7212,369,https://onebite.app/restaurant/allegro-pizza-philadelphia-pa-fa454928,6.2,18.0
Pizza Jawn,https://onebite.app/restaurant/pizza-jawn-philadelphia-pa-d385384a/review/f62c89d3-d753-43fb-96ff-5c60657f6261,8.1,"Philadelphia, PA",2020-10-14 22:00:00.000000,PA,Philadelphia,"4330 Main St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Pizza%2BJawn%2C%2B4330%2BMain%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19127,7022,357,https://onebite.app/restaurant/pizza-jawn-philadelphia-pa-d385384a,7.9,13.0
Joe's Pizza,https://onebite.app/restaurant/joes-pizza-west-hollywood-ca-f5543541/review/5c433615-fd52-4cd5-aa8e-2c65cbc76f9d,7.6,"West Hollywood, CA",2020-10-13 22:00:00.000000,CA,West Hollywood,"8539 W Sunset Blvd, West Hollywood, CA",https://google.com/maps/dir/?api=1&destination=Joe's%2BPizza%2C%2B8539%2BW%2BSunset%2BBlvd%2C%2BWest%2BHollywood%2C%2BCA%2C%2B90069,6290,354,https://onebite.app/restaurant/joes-pizza-west-hollywood-ca-f5543541,7.9,22.0
Conte's Pizza and Bar,https://onebite.app/restaurant/contes-pizza-and-bar-princeton-nj-04b9c277/review/b442f2e6-45fd-44dc-a481-261307a3ec21,8.9,"Princeton, NJ",2020-10-12 22:00:00.000000,NJ,Princeton,"339 Witherspoon St, Princeton, NJ",https://google.com/maps/dir/?api=1&destination=Conte's%2BPizza%2Band%2BBar%2C%2B339%2BWitherspoon%2BSt%2C%2BPrinceton%2C%2BNJ%2C%2B08542,8299,547,https://onebite.app/restaurant/contes-pizza-and-bar-princeton-nj-04b9c277,8.3,84.0
Explorer's Den Steaks and Ho...,https://onebite.app/restaurant/explorers-den-steaks-and-hoagies-philadelphia-pa-fec351ba/review/addf9cfa-0906-47fa-939e-fa9824d7cd31,6.1,"Philadelphia, PA",2020-10-09 22:00:00.000000,PA,Philadelphia,"2160 W Olney Ave, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Explorer's%2BDen%2BSteaks%2Band%2BHoagies%2C%2B2160%2BW%2BOlney%2BAve%2C%2BPhiladelphia%2C%2BPA%2C%2B19144,6933,434,https://onebite.app/restaurant/explorers-den-steaks-and-hoagies-philadelphia-pa-fec351ba,5.9,2.0
LaScala's Pronto,https://onebite.app/restaurant/lascalas-pronto-philadelphia-pa-8c0d4eba/review/1b891d4e-993e-486a-a661-bb8cae771667,6.1,"Philadelphia, PA",2020-10-08 22:00:00.000000,PA,Philadelphia,"1501 Spring Garden St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=LaScala's%2BPronto%2C%2B1501%2BSpring%2BGarden%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19130,6852,333,https://onebite.app/restaurant/lascalas-pronto-philadelphia-pa-8c0d4eba,6.6,24.0
Wood Street Pizza,https://onebite.app/restaurant/wood-street-pizza-philadelphia-pa-0c17e0d3/review/81604966-a8fe-4995-af33-df47e28a981c,8.1,"Philadelphia, PA",2020-10-07 22:00:00.000000,PA,Philadelphia,"325 N 12th St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Wood%2BStreet%2BPizza%2C%2B325%2BN%2B12th%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19107,6614,421,https://onebite.app/restaurant/wood-street-pizza-philadelphia-pa-0c17e0d3,8.0,54.0
Pietro's Coal Oven Pizzeria,https://onebite.app/restaurant/pietros-coal-oven-pizzeria-philadelphia-pa-f94f4f89/review/a582c93c-04c7-499e-8ba2-f8947924f9ae,7.4,"Philadelphia, PA",2020-10-06 22:00:00.000000,PA,Philadelphia,"1714 Walnut St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Pietro's%2BCoal%2BOven%2BPizzeria%2C%2B1714%2BWalnut%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19103,6497,379,https://onebite.app/restaurant/pietros-coal-oven-pizzeria-philadelphia-pa-f94f4f89,7.6,38.0
Zio's Brick Oven Pizzeria,https://onebite.app/restaurant/zios-brick-oven-pizzeria-philadelphia-pa-455a78c9/review/cd17dd0c-01bd-4194-b5ac-64afcdf47a14,6.8,"Philadelphia, PA",2020-10-05 22:00:00.000000,PA,Philadelphia,"111 S 13th St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Zio's%2BBrick%2BOven%2BPizzeria%2C%2B111%2BS%2B13th%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19107,6158,756,https://onebite.app/restaurant/zios-brick-oven-pizzeria-philadelphia-pa-455a78c9,7.1,28.0
Botanica Bar,https://onebite.app/restaurant/botanica-bar-new-york-ny-02cd78cb/review/dc014fda-6925-4758-9d7e-11599e89483e,7.8,"New York, NY",2020-10-02 22:00:00.000000,NY,New York,"47 E Houston St, New York, NY",https://google.com/maps/dir/?api=1&destination=Botanica%2BBar%2C%2B47%2BE%2BHouston%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10012,6313,503,https://onebite.app/restaurant/botanica-bar-new-york-ny-02cd78cb,7.7,4.0
Enjay's Pizza,https://onebite.app/restaurant/enjays-pizza-philadelphia-pa-cd24166b/review/51abc269-3398-4ea9-afca-9ec2690198b5,6.8,"Philadelphia, PA",2020-10-01 22:00:00.000000,PA,Philadelphia,"210 S 40th St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Enjay's%2BPizza%2C%2B210%2BS%2B40th%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19104,6145,333,https://onebite.app/restaurant/enjays-pizza-philadelphia-pa-cd24166b,7.6,4.0
Giovani's Bar & Grill,https://onebite.app/restaurant/giovanis-bar-and-grill-philadelphia-pa-11f51bea/review/c7923485-c853-4e1e-9df7-b5fe6930248e,7.4,"Philadelphia, PA",2020-09-30 22:00:00.000000,PA,Philadelphia,"1533 Chestnut St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Giovani's%2BBar%2B%26%2BGrill%2C%2B1533%2BChestnut%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19102,5924,344,https://onebite.app/restaurant/giovanis-bar-and-grill-philadelphia-pa-11f51bea,7.7,29.0
Axis Pizza,https://onebite.app/restaurant/axis-pizza-philadelphia-pa-cb4da1a3/review/ad6ef97f-1be8-4e81-8802-9a8b8f346177,6.2,"Philadelphia, PA",2020-09-29 22:00:00.000000,PA,Philadelphia,"20 S 36th St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Axis%2BPizza%2C%2B20%2BS%2B36th%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19104,5631,576,https://onebite.app/restaurant/axis-pizza-philadelphia-pa-cb4da1a3,5.7,14.0
Mineo's Pizza House,https://onebite.app/restaurant/mineos-pizza-house-pittsburgh-pa-5da1538a/review/ad9a3191-1037-4ad3-81c9-2601279befd8,7.1,"Pittsburgh, PA",2020-09-28 22:00:00.000000,PA,Pittsburgh,"2128 Murray Ave, Pittsburgh, PA",https://google.com/maps/dir/?api=1&destination=Mineo's%2BPizza%2BHouse%2C%2B2128%2BMurray%2BAve%2C%2BPittsburgh%2C%2BPA%2C%2B15217,6119,612,https://onebite.app/restaurant/mineos-pizza-house-pittsburgh-pa-5da1538a,7.6,82.0
Aiello's Pizza,https://onebite.app/restaurant/aiellos-pizza-pittsburgh-pa-a31b6304/review/1d479eb9-b115-4f0e-a24b-b2473c370b0c,6.1,"Pittsburgh, PA",2020-09-25 22:00:00.000000,PA,Pittsburgh,"2112 Murray Ave, Pittsburgh, PA",https://google.com/maps/dir/?api=1&destination=Aiello's%2BPizza%2C%2B2112%2BMurray%2BAve%2C%2BPittsburgh%2C%2BPA%2C%2B15217,6213,438,https://onebite.app/restaurant/aiellos-pizza-pittsburgh-pa-a31b6304,7.5,68.0
Benny Fierro's,https://onebite.app/restaurant/benny-fierros-pittsburgh-pa-af86b971/review/c0c4b3eb-6490-48a6-94bc-2454ca3f121a,6.4,"Pittsburgh, PA",2020-09-23 22:00:00.000000,PA,Pittsburgh,"1906 E Carson St, Pittsburgh, PA",https://google.com/maps/dir/?api=1&destination=Benny%2BFierro's%2C%2B1906%2BE%2BCarson%2BSt%2C%2BPittsburgh%2C%2BPA%2C%2B15203,6340,404,https://onebite.app/restaurant/benny-fierros-pittsburgh-pa-af86b971,7.6,69.0
Gennaro's Pizza,https://onebite.app/restaurant/gennaros-pizza-pittsburgh-pa-9adb4f28/review/b085487e-c351-4399-80b8-a4eb9215ef86,6.7,"Pittsburgh, PA",2020-09-22 22:00:00.000000,PA,Pittsburgh,"1417 E Carson St, Pittsburgh, PA",https://google.com/maps/dir/?api=1&destination=Gennaro's%2BPizza%2C%2B1417%2BE%2BCarson%2BSt%2C%2BPittsburgh%2C%2BPA%2C%2B15203,6799,389,https://onebite.app/restaurant/gennaros-pizza-pittsburgh-pa-9adb4f28,6.6,17.0
Pizzeria Stella,https://onebite.app/restaurant/pizzeria-stella-philadelphia-pa-c6b34356/review/4bf16fb1-51ae-4607-9df8-383226676139,7.1,"Philadelphia, PA",2020-09-21 22:00:00.000000,PA,Philadelphia,"420 S 2nd St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Pizzeria%2BStella%2C%2B420%2BS%2B2nd%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19147,7166,491,https://onebite.app/restaurant/pizzeria-stella-philadelphia-pa-c6b34356,8.0,32.0
Angelino's Restaurant,https://onebite.app/restaurant/angelinos-restaurant-philadelphia-pa-ac162814/review/bfd51aee-098a-4a7c-89ce-a1c0a45f1819,7.9,"Philadelphia, PA",2020-09-18 22:00:00.000000,PA,Philadelphia,"849 N 25th St, Philadelphia, PA",https://google.com/maps/dir/?api=1&destination=Angelino's%2BRestaurant%2C%2B849%2BN%2B25th%2BSt%2C%2BPhiladelphia%2C%2BPA%2C%2B19130,7075,428,https://onebite.app/restaurant/angelinos-restaurant-philadelphia-pa-ac162814,7.9,25.0
Fiori's Pizzaria,https://onebite.app/restaurant/fioris-pizzaria-pittsburgh-pa-0787a3c4/review/5fef5dd2-5b83-40e1-a972-3cc9883fd3f8,7.8,"Pittsburgh, PA",2020-09-17 22:00:00.000000,PA,Pittsburgh,"103 Capital Ave, Pittsburgh, PA",https://google.com/maps/dir/?api=1&destination=Fiori's%2BPizzaria%2C%2B103%2BCapital%2BAve%2C%2BPittsburgh%2C%2BPA%2C%2B15226,7564,528,https://onebite.app/restaurant/fioris-pizzaria-pittsburgh-pa-0787a3c4,8.3,113.0
Beto's Pizza,https://onebite.app/restaurant/betos-pizza-pittsburgh-pa-773e1c24/review/42fd0539-8ec0-4d1b-86fa-4d1369481db0,7.2,"Pittsburgh, PA",2020-09-16 22:00:00.000000,PA,Pittsburgh,"1473 Banksville Rd, Pittsburgh, PA",https://google.com/maps/dir/?api=1&destination=Beto's%2BPizza%2C%2B1473%2BBanksville%2BRd%2C%2BPittsburgh%2C%2BPA%2C%2B15216,6846,442,https://onebite.app/restaurant/betos-pizza-pittsburgh-pa-773e1c24,7.4,46.0
Juliano's Restaurant & Pizze...,https://onebite.app/restaurant/julianos-restaurant-and-pizzeria-robinson-twp-pa-e5c5f361/review/4288ddb6-9c35-40c9-bdd2-64f6addd6a4c,7.5,"Robinson Twp., PA",2020-09-15 22:00:00.000000,PA,Robinson Twp.,"5476 Steubenville Pike, Robinson Twp., PA",https://google.com/maps/dir/?api=1&destination=Juliano's%2BRestaurant%2B%26%2BPizzeria%2C%2B5476%2BSteubenville%2BPike%2C%2BRobinson%2BTwp.%2C%2BPA%2C%2B15136,6692,480,https://onebite.app/restaurant/julianos-restaurant-and-pizzeria-robinson-twp-pa-e5c5f361,7.6,26.0
Soho 99 Cents,https://onebite.app/restaurant/soho-99-cents-new-york-ny-5b02a497/review/081a9e3c-56c8-4c9a-bec7-cbded4c6b5ab,5.4,"New York, NY",2020-09-14 22:00:00.000000,NY,New York,"204 W 14th St, New York, NY",https://google.com/maps/dir/?api=1&destination=Soho%2B99%2BCents%2C%2B204%2BW%2B14th%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10011,6546,471,https://onebite.app/restaurant/soho-99-cents-new-york-ny-5b02a497,5.4,1.0
Bar Dough,https://onebite.app/restaurant/bar-dough-new-york-ny-4c536f45/review/ec50af8b-0c5d-4cb1-a646-15fde3190e4b,7.1,"New York, NY",2020-09-11 22:00:00.000000,NY,New York,"350 W 46th St, New York, NY",https://google.com/maps/dir/?api=1&destination=Bar%2BDough%2C%2B350%2BW%2B46th%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10036,6312,383,https://onebite.app/restaurant/bar-dough-new-york-ny-4c536f45,8.1,5.0
Moustache,https://onebite.app/restaurant/moustache-new-york-ny-07b58747/review/2feb5991-5f90-4af8-b516-1ccfa1c405b3,7.4,"New York, NY",2020-09-09 22:00:00.000000,NY,New York,"90 Bedford St, New York, NY",https://google.com/maps/dir/?api=1&destination=Moustache%2C%2B90%2BBedford%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10014,6167,436,https://onebite.app/restaurant/moustache-new-york-ny-07b58747,7.4,1.0
Primavera Pizza,https://onebite.app/restaurant/primavera-pizza-montauk-ny-38ae5751/review/b4dd19ca-7a6a-45ff-8a90-2de1ac6c3231,7.6,"Montauk, NY",2020-09-08 22:00:00.000000,NY,Montauk,"54 S Erie Ave, Montauk, NY",https://google.com/maps/dir/?api=1&destination=Primavera%2BPizza%2C%2B54%2BS%2BErie%2BAve%2C%2BMontauk%2C%2BNY%2C%2B11954,6395,351,https://onebite.app/restaurant/primavera-pizza-montauk-ny-38ae5751,6.7,11.0
Pizza Collective,https://onebite.app/restaurant/pizza-collective-new-york-ny-d8eba684/review/d8dd8bbd-df93-4f2a-b6c0-d754fb3086b0,7.6,"New York, NY",2020-09-04 22:00:00.000000,NY,New York,"2060 Broadway, New York, NY",https://google.com/maps/dir/?api=1&destination=Pizza%2BCollective%2C%2B2060%2BBroadway%2C%2BNew%2BYork%2C%2BNY%2C%2B10023,6550,400,https://onebite.app/restaurant/pizza-collective-new-york-ny-d8eba684,7.7,7.0
